GeneID:100038177,XB-GENE-491957
GeneID:100038178,XB-GENE-492763
GeneID:100038179,XB-GENE-493382
GeneID:100038180,XB-GENE-493608
GeneID:100038181,XB-GENE-853544
GeneID:100038182,XB-GENE-856594
GeneID:100038183,XB-GENE-482536
GeneID:100038184,XB-GENE-484718
GeneID:100038185,XB-GENE-491865
GeneID:100038186,XB-GENE-495321
GeneID:100038187,XB-GENE-486903
GeneID:100038188,XB-GENE-478202
GeneID:100038189,XB-GENE-478355
GeneID:100038190,XB-GENE-478544
GeneID:100038191,XB-GENE-478869
GeneID:100038192,XB-GENE-479027
GeneID:100038193,XB-GENE-479701
GeneID:100038194,XB-GENE-481391
GeneID:100038195,XB-GENE-481625
GeneID:100038196,XB-GENE-481907
GeneID:100038197,XB-GENE-482160
GeneID:100038198,XB-GENE-482545
GeneID:100038199,XB-GENE-482911
GeneID:100038200,XB-GENE-483338
GeneID:100038201,XB-GENE-484376
GeneID:100038202,XB-GENE-484495
GeneID:100038203,XB-GENE-484896
GeneID:100038204,XB-GENE-485682
GeneID:100038205,XB-GENE-486113
GeneID:100038206,XB-GENE-486218
GeneID:100038207,XB-GENE-486233
GeneID:100038208,XB-GENE-486817
GeneID:100038209,XB-GENE-487032
GeneID:100038210,XB-GENE-487270
GeneID:100038211,XB-GENE-487620
GeneID:100038212,XB-GENE-487951
GeneID:100038213,XB-GENE-488406
GeneID:100038214,XB-GENE-488495
GeneID:100038215,XB-GENE-489205
GeneID:100038216,XB-GENE-489289
GeneID:100038217,XB-GENE-489435
GeneID:100038218,XB-GENE-489644
GeneID:100038219,XB-GENE-489677
GeneID:100038220,XB-GENE-490387
GeneID:100038221,XB-GENE-490633
GeneID:100038222,XB-GENE-490782
GeneID:100038224,XB-GENE-491846
GeneID:100038225,XB-GENE-492150
GeneID:100038226,XB-GENE-492617
GeneID:100038227,XB-GENE-493077
GeneID:100038228,XB-GENE-493351
GeneID:100038229,XB-GENE-493493
GeneID:100038230,XB-GENE-493638
GeneID:100038231,XB-GENE-493829
GeneID:100038232,XB-GENE-494115
GeneID:100038234,XB-GENE-495119
GeneID:100038235,XB-GENE-495335
GeneID:100038236,XB-GENE-852771
GeneID:100038237,XB-GENE-853274
GeneID:100038238,XB-GENE-853430
GeneID:100038240,XB-GENE-484563
GeneID:100038241,XB-GENE-493249
GeneID:100038242,XB-GENE-487490
GeneID:100038243,XB-GENE-488953
GeneID:100038244,XB-GENE-489652
GeneID:100038245,XB-GENE-493040
GeneID:100038251,XB-GENE-995111
GeneID:100038252,XB-GENE-961516
GeneID:100038253,XB-GENE-6044719
GeneID:100038254,XB-GENE-987516
GeneID:100038255,XB-GENE-992697
GeneID:100038256,XB-GENE-984521
GeneID:100038257,XB-GENE-923183
GeneID:100038258,XB-GENE-946427
GeneID:100038259,XB-GENE-966419
GeneID:100038260,XB-GENE-1008447
GeneID:100038261,XB-GENE-486595
GeneID:100038262,XB-GENE-957194
GeneID:100038263,XB-GENE-5880620
GeneID:100038264,XB-GENE-951303
GeneID:100038265,XB-GENE-940117
GeneID:100038266,XB-GENE-855781
GeneID:100038267,XB-GENE-980487
GeneID:100038268,XB-GENE-487643
GeneID:100038269,XB-GENE-994663
GeneID:100038270,XB-GENE-973776
GeneID:100038271,XB-GENE-985346
GeneID:100038272,XB-GENE-5902338
GeneID:100038273,XB-GENE-5919609
GeneID:100038274,XB-GENE-480800
GeneID:100038275,XB-GENE-5860641
GeneID:100038276,XB-GENE-5787238
GeneID:100038277,XB-GENE-5954567
GeneID:100038278,XB-GENE-5834068
GeneID:100038279,XB-GENE-5905916
GeneID:100038280,XB-GENE-979137
GeneID:100038281,XB-GENE-985780
GeneID:100038282,XB-GENE-982219
GeneID:100038283,XB-GENE-942094
GeneID:100038284,XB-GENE-973185
GeneID:100038285,XB-GENE-961541
GeneID:100038286,XB-GENE-968597
GeneID:100038287,XB-GENE-5856115
GeneID:100038288,XB-GENE-6257957
GeneID:100038289,XB-GENE-1001484
GeneID:100038290,XB-GENE-963757
GeneID:100038291,XB-GENE-923171
GeneID:100038292,XB-GENE-997654
GeneID:100038293,XB-GENE-970178
GeneID:100038294,XB-GENE-876279
GeneID:100038295,XB-GENE-6454709
GeneID:100038297,XB-GENE-957638
GeneID:100038298,XB-GENE-488164
GeneID:100038299,XB-GENE-980129
