#NCBI-GeneID,XB-GENE-ID,GENE_SYMBOL
GeneID:100037877,XB-GENE-953121,smug1
GeneID:100037878,XB-GENE-978920,syt8
GeneID:100037879,XB-GENE-5752629,syt1
GeneID:100037880,XB-GENE-5798591,c9h2orf76
GeneID:100037881,XB-GENE-956400,caps
GeneID:100037882,XB-GENE-960365,ing1
GeneID:100037883,XB-GENE-5831223,rnls
GeneID:100037884,XB-GENE-5823898,zbtb6
GeneID:100037885,XB-GENE-967059,hikeshi
GeneID:100037886,XB-GENE-494227,ring1
GeneID:100037887,XB-GENE-6257590,efcc1
GeneID:100037888,XB-GENE-5799643,wbp1l
GeneID:100037889,XB-GENE-5767975,obi1
GeneID:100037890,XB-GENE-995975,hyal4
GeneID:100037892,XB-GENE-5954792,thap11
GeneID:100037893,XB-GENE-489326,cnmd
GeneID:100037894,XB-GENE-491247,tuba8
GeneID:100037895,XB-GENE-974251,thtpa
GeneID:100037897,XB-GENE-1016694,ankrd2
GeneID:100037898,XB-GENE-487933,agpat1
GeneID:100037899,XB-GENE-485626,hsp70
GeneID:100037900,XB-GENE-966887,rho
GeneID:100037901,NA,LOC100037901
GeneID:100037902,XB-GENE-1012688,kazn
GeneID:100037903,XB-GENE-22063274,sult6b1.5
GeneID:100037904,XB-GENE-491021,sst.1
GeneID:100037905,XB-GENE-1009790,arhgef1
GeneID:100037906,XB-GENE-5738866,ttc7b
GeneID:100037907,XB-GENE-961613,b3gat1
GeneID:100037908,XB-GENE-495296,sfrpx
GeneID:100037909,XB-GENE-953000,anxa3
GeneID:100037910,XB-GENE-959557,ppdpf
GeneID:100037911,XB-GENE-990173,cyp1a1
GeneID:100037912,XB-GENE-942413,macir
GeneID:100037913,XB-GENE-5740434,clvs1
GeneID:100037914,XB-GENE-484627,mip
GeneID:100037915,XB-GENE-5893530,epha10
GeneID:100037916,XB-GENE-5885684,syndig1
GeneID:100037917,XB-GENE-969520,col8a1
GeneID:100037918,XB-GENE-954377,pacrgl
GeneID:100037919,XB-GENE-487844,eya2
GeneID:100038034,XB-GENE-479074,csnk1g3
GeneID:100038035,XB-GENE-479760,frs2
