NCBI-GENE-ID,XB-GENE-ID,#GENE_SYMBOL
GeneID:100145419,XB-GENE-5856158,XB5856157 [provisional:endod1]
GeneID:496737,XB-GENE-5856185,XB5856184 [provisional:crp]
GeneID:100125166,XB-GENE-5856771,XB5856770 [provisional]
GeneID:100492585,XB-GENE-5856847,XB5856846 [provisional]
GeneID:100135198,XB-GENE-5857569,XB5857568 [provisional:apoa1]
GeneID:100491441,XB-GENE-5952277,XB5858494 [provisional:cyp2ac1]
GeneID:496670,XB-GENE-5861581,XB5861580 [provisional]
GeneID:100135389,XB-GENE-5862140,XB5862139 [provisional:mal]
GeneID:100489221,XB-GENE-5863396,XB5863395 [provisional]
GeneID:100497556,XB-GENE-5863531,XB5863530 [provisional]
GeneID:100145035,XB-GENE-5864910,XB5864909 [provisional:rnf170]
GeneID:100145011,XB-GENE-5866418,XB5866417 [provisional]
GeneID:100497410,XB-GENE-5867321,XB5867320 [provisional:tspan7]
GeneID:100495408,XB-GENE-5867547,XB5867546 [provisional]
GeneID:100494424,XB-GENE-5870674,XB5870673 [provisional]
GeneID:100495517,XB-GENE-5870708,XB5870707 [provisional]
GeneID:100124950,XB-GENE-5870895,XB5870894 [provisional]
GeneID:100496837,XB-GENE-5871034,XB5871033 [provisional:c1galt1]
GeneID:100490530,XB-GENE-5871768,XB5871767 [provisional:gatd3b]
GeneID:548390,XB-GENE-5872373,XB5872372 [provisional]
GeneID:100135231,XB-GENE-5872521,XB5872520 [provisional]
GeneID:100145503,XB-GENE-5872721,XB5872720 [provisional]
GeneID:100496061,XB-GENE-5873315,XB5873314 [provisional:rab32]
GeneID:100127826,XB-GENE-5873752,XB5873751 [provisional]
GeneID:100497107,XB-GENE-5876792,XB5876791 [provisional:olfr1019]
GeneID:100493626,XB-GENE-5879809,XB5879808 [provisional:vmn2r26]
GeneID:100497460,XB-GENE-5880542,XB5880541 [provisional]
GeneID:594891,XB-GENE-5880826,XB5880825 [provisional:samd9l]
GeneID:100170427,XB-GENE-5882686,XB5882685 [provisional:cdca7]
GeneID:734122,XB-GENE-5884181,XB5884180 [provisional]
GeneID:100489386,XB-GENE-5884358,XB5884357 [provisional]
GeneID:100145527,XB-GENE-5885309,XB5885308 [provisional:ncoa5]
GeneID:100127805,XB-GENE-5885670,XB5885669 [provisional]
GeneID:100492010,XB-GENE-5886924,XB5886923 [provisional:hcar2]
GeneID:100135384,XB-GENE-5886929,XB5886928 [provisional]
GeneID:100145554,XB-GENE-5887027,XB5887026 [provisional]
GeneID:100489545,XB-GENE-5887253,XB5887252 [provisional:cd22]
GeneID:100486741,XB-GENE-5887601,XB5887600 [provisional:cry1]
GeneID:100495536,XB-GENE-5889097,XB5889096 [provisional]
GeneID:496784,XB-GENE-5889123,XB5889122 [provisional]
GeneID:100495326,XB-GENE-5889250,XB5889249 [provisional:tlr1]
GeneID:100486434,XB-GENE-5891721,XB5891720 [provisional]
GeneID:100497443,XB-GENE-5892360,XB5892359 [provisional:acr]
GeneID:779592,XB-GENE-5892680,XB5892679 [provisional:cerk]
GeneID:100497855,XB-GENE-5892784,XB5892783 [provisional:trpm7]
GeneID:100127632,XB-GENE-5892896,XB5892895 [provisional]
GeneID:100127817,XB-GENE-5892958,XB5892957 [provisional]
GeneID:733728,XB-GENE-5893023,XB5893022 [provisional]
GeneID:100135146,XB-GENE-5894821,XB5894820 [provisional]
GeneID:100490956,XB-GENE-5895997,XB5895996 [provisional:cbr1]
GeneID:100486056,XB-GENE-5896328,XB5896327 [provisional:trim25]
GeneID:100127873,XB-GENE-5896632,XB5896631 [provisional]
GeneID:100494194,XB-GENE-5896659,XB5896658 [provisional:stx3]
GeneID:100494136,XB-GENE-5897202,XB5897201 [provisional:fcrl3]
GeneID:100494621,XB-GENE-5897272,XB5897271 [provisional]
GeneID:496998,XB-GENE-5897338,XB5897337 [provisional]
GeneID:100492852,XB-GENE-5897454,XB5897453 [provisional:fcgbp]
GeneID:100170429,XB-GENE-5899552,XB5899551 [provisional]
GeneID:733495,XB-GENE-5899798,XB5899797 [provisional]
GeneID:100493299,XB-GENE-5899917,XB5899916 [provisional:tm4sf5]
GeneID:100485792,XB-GENE-5900383,XB5900382 [provisional:myh3]
GeneID:100486862,XB-GENE-5900535,XB5900534 [provisional:or56a5]
GeneID:100145531,XB-GENE-5900553,XB5900552 [provisional]
GeneID:548655,XB-GENE-5901010,XB5901009 [provisional]
GeneID:100127624,XB-GENE-5901520,XB5901519 [provisional:tprg1l]
GeneID:100145144,XB-GENE-5901662,XB5901661 [provisional:rabepk]
GeneID:100494782,XB-GENE-5902318,XB5902317 [provisional:ces1c]
GeneID:100493569,XB-GENE-5903317,XB5903316 [provisional:slc66a1]
GeneID:100135246,XB-GENE-5904900,XB5904899 [provisional]
GeneID:100498440,XB-GENE-5905939,XB5905938 [provisional:pttg1]
GeneID:100497391,XB-GENE-5906920,XB5906919 [provisional:mccc2]
GeneID:100145027,XB-GENE-5907627,XB5907626 [provisional:fabp1]
GeneID:100492375,XB-GENE-5907744,XB5907743 [provisional]
GeneID:100170420,XB-GENE-5909791,XB5909790 [provisional]
GeneID:100488177,XB-GENE-5913532,XB5913531 [provisional:mfap4]
GeneID:100495271,XB-GENE-5913758,XB5913757 [provisional:tmem11]
GeneID:100496633,XB-GENE-5913777,XB5913776 [provisional:atpsckmt]
GeneID:100496293,XB-GENE-5917670,XB5917669 [provisional]
GeneID:100135185,XB-GENE-5918647,XB5918646 [provisional]
GeneID:100125049,XB-GENE-5918806,XB5918805 [provisional:lhfpl3]
GeneID:733811,XB-GENE-5919443,XB5919442 [provisional]
GeneID:100145541,XB-GENE-5919980,XB5919979 [provisional:cyp2c55]
GeneID:100487104,XB-GENE-5920188,XB5920187 [provisional]
GeneID:100496691,XB-GENE-5922507,XB5922506 [provisional]
GeneID:733765,XB-GENE-5922677,XB5922676 [provisional:cav3]
GeneID:100495155,XB-GENE-5924311,XB5924310 [provisional]
GeneID:549154,XB-GENE-5931223,XB5931222 [provisional]
GeneID:100492325,XB-GENE-5932120,XB5932119 [provisional]
GeneID:100496423,XB-GENE-5932842,XB5932841 [provisional:cav2]
GeneID:733724,XB-GENE-5933368,XB5933367 [provisional]
GeneID:100036702,XB-GENE-5934251,XB5934250 [provisional]
GeneID:100145285,XB-GENE-5935728,XB5935727 [provisional]
GeneID:100144969,XB-GENE-5936513,XB5936512 [provisional]
GeneID:100127794,XB-GENE-5937758,XB5937757 [provisional]
GeneID:100493745,XB-GENE-5939410,XB5939409 [provisional:cstf3]
GeneID:734128,XB-GENE-5939689,XB5939688 [provisional]
GeneID:100145751,XB-GENE-5942350,XB5942349 [provisional:igsf8]
GeneID:100127682,XB-GENE-5944458,XB5944457 [provisional]
GeneID:594886,XB-GENE-5945008,XB5945007 [provisional:nnmt]
GeneID:100486104,XB-GENE-5946284,XB5946283 [provisional:fcrl5]
GeneID:100494248,XB-GENE-5946329,XB5946328 [provisional:or11l1]
GeneID:100145155,XB-GENE-5947714,XB5947713 [provisional]
GeneID:733474,XB-GENE-5947742,XB5947741 [provisional]
GeneID:100489456,XB-GENE-5949053,XB5949052 [provisional]
GeneID:100144947,XB-GENE-5949739,XB5949738 [provisional]
GeneID:100135222,XB-GENE-5949754,XB5949753 [provisional]
GeneID:100158544,XB-GENE-5950142,XB5950141 [provisional]
GeneID:100498039,XB-GENE-5950267,XB5950266 [provisional]
GeneID:100494487,XB-GENE-5951254,XB5951253 [provisional:mov10]
GeneID:100490476,XB-GENE-5858495,XB5952276 [provisional]
GeneID:100036663,XB-GENE-5952315,XB5952314 (provisional)
GeneID:100135366,XB-GENE-5952893,XB5952892 [provisional]
GeneID:100489788,XB-GENE-5953085,XB5953084 [provisional:kif20a]
GeneID:100127564,XB-GENE-5953581,XB5953580 [provisional]
GeneID:100145014,XB-GENE-5954423,XB5954422 [provisional]
GeneID:733858,XB-GENE-5954441,XB5954440 [provisional:mfsd8]
GeneID:493204,XB-GENE-5956431,XB5956430 [provisional:ssuh2]
GeneID:100158459,XB-GENE-5956457,XB5956456 [provisional]
GeneID:100486185,XB-GENE-5957063,XB5957062 [provisional:plekha3]
GeneID:100485437,XB-GENE-5957216,XB5957215 [provisional]
GeneID:100124842,XB-GENE-5957221,XB5957220 [provisional]
GeneID:100145109,XB-GENE-5957963,XB5957962 [provisional]
GeneID:100144983,XB-GENE-5958876,XB5958875 [provisional]
GeneID:100498371,XB-GENE-5959263,XB5959262 [provisional:lbh]
GeneID:734029,XB-GENE-5959487,XB5959486 [provisional]
GeneID:733726,XB-GENE-5959820,XB5959819 [provisional]
GeneID:100491172,XB-GENE-5960290,XB5960289 [provisional:fcrl4]
GeneID:100495652,XB-GENE-5960369,XB5960368 [provisional:eva1c]
GeneID:100216114,XB-GENE-5960520,XB5960519 [provisional]
GeneID:100495568,XB-GENE-5960629,XB5960628 [provisional:trim7]
GeneID:100135382,XB-GENE-5961370,XB5961369 [provisional:plpp3]
GeneID:100494294,XB-GENE-5961732,XB5961731 [provisional:ins]
GeneID:100170428,XB-GENE-5961764,XB5961763 [provisional]
GeneID:100144987,XB-GENE-5961850,XB5961849 [provisional:itpk1]
GeneID:733841,XB-GENE-5961860,XB5961859 [provisional:trim39]
GeneID:100216128,XB-GENE-5961957,XB5961956 [provisional]
GeneID:100127716,XB-GENE-5962422,XB5962421 [provisional]
GeneID:100125055,XB-GENE-5962512,XB5962511 [provisional:galr2]
GeneID:100485292,XB-GENE-5962543,XB5962542 [provisional]
GeneID:100496550,XB-GENE-5962686,XB5962685 [provisional:gzma]
GeneID:100486858,XB-GENE-5962941,XB5962940 [provisional:ctdspl2]
GeneID:733769,XB-GENE-5963075,XB5963074 [provisional]
GeneID:100488030,XB-GENE-5964271,XB5964270 [provisional:fbxw7]
GeneID:100493020,XB-GENE-5964985,XB5964984 [provisional]
GeneID:100485054,XB-GENE-5965024,XB5965023 [provisional]
GeneID:100170490,XB-GENE-5965331,XB5965330 [provisional]
GeneID:100485153,XB-GENE-5965587,XB5965586 [provisional:nfkbiz]
GeneID:733461,XB-GENE-5967086,XB5967085 [provisional]
GeneID:100170609,XB-GENE-5967324,XB5967323 [provisional]
GeneID:100497709,XB-GENE-5969034,XB5969033 [provisional]
GeneID:100489267,XB-GENE-5969543,XB5969542 [provisional:b3gnt7]
GeneID:100170549,XB-GENE-5969699,XB5969698 [provisional:lamb4]
GeneID:100216020,XB-GENE-5970037,XB5970036 [provisional]
GeneID:100491404,XB-GENE-5970068,XB5970067 [provisional:hebp2]
GeneID:100496508,XB-GENE-5991178,XB5991177 [provisional:fcrl5]
GeneID:100489139,XB-GENE-5991223,XB5991222 [provisional:fcrl3]
GeneID:100216141,XB-GENE-5992704,XB5992703 [provisional]
GeneID:100216148,XB-GENE-5992953,XB5992952 [provisional:adpgk]
GeneID:100216037,XB-GENE-5993343,XB5993342 [provisional:ist1]
GeneID:100216133,XB-GENE-5993458,XB5993457 [provisional:aqp4]
GeneID:100216027,XB-GENE-5994048,XB5994047 [provisional]
GeneID:100216153,XB-GENE-5994590,XB5994589 [provisional]
GeneID:100492462,XB-GENE-5997627,XB5997626 [provisional:urgcp]
GeneID:100216173,XB-GENE-5997771,XB5997770 [provisional]
GeneID:100487181,XB-GENE-5998703,XB5998702 [provisional:trim25]
GeneID:100496911,XB-GENE-6038543,XB6038542 [provisional]
GeneID:100488256,XB-GENE-6050835,XB6050834 [provisional:igfals]
GeneID:100494383,XB-GENE-6462650,XB6462649 [provisional:ccdc92]
GeneID:100486664,XB-GENE-6462797,XB6462796 [provisional:lrmp]
GeneID:100495126,XB-GENE-920141,XB920140 [provisional:vmn2r26]
GeneID:100492299,XB-GENE-940088,XB940087 [provisional]
GeneID:100492352,XB-GENE-940383,XB940382 [provisional]
GeneID:100485581,XB-GENE-940395,XB940394 [provisional]
GeneID:100488065,XB-GENE-940403,XB940402 [provisional]
GeneID:100497169,XB-GENE-940413,XB940412 [provisional]
GeneID:100135367,XB-GENE-941700,XB941699 [provisional]
GeneID:496913,XB-GENE-964429,XB964428 [provisional:pgc]
GeneID:100170560,XB-GENE-964898,XB964897 [provisional:lrrc8c]
GeneID:100493057,XB-GENE-972977,XB972976 [provisional:rpl32]
GeneID:100490957,XB-GENE-981466,XB981465 [provisional]
GeneID:100493271,XB-GENE-982629,XB982628 [provisional:prlhr]
GeneID:100485159,XB-GENE-983423,XB983422 [provisional]
GeneID:100492274,XB-GENE-985135,XB985134 [provisional:slc7a6]
GeneID:100497264,XB-GENE-986082,XB986081 [provisional:sult2b1]
GeneID:100490139,XB-GENE-986812,XB986811 [provisional:ctsk]
GeneID:100497588,XB-GENE-987370,XB987369 [provisional:prss12]
GeneID:100493606,XB-GENE-987884,XB987883 [provisional:muc5b]
GeneID:100493937,XB-GENE-987889,XB987888 [provisional:muc5ac]
GeneID:100486634,XB-GENE-989597,XB989596 [provisional:ifit5]
GeneID:100494069,XB-GENE-989751,XB989750 [provisional:tnik]
GeneID:100485583,XB-GENE-990109,XB990108 [provisional]
GeneID:100486192,XB-GENE-990429,XB990428 [provisional:ifitm3]
GeneID:100486640,XB-GENE-990657,XB990656 [provisional:adam9]
GeneID:100486342,XB-GENE-990817,XB990816 [provisional:gcnt3]
GeneID:100493742,XB-GENE-991287,XB991286 [provisional:pkn1]
GeneID:100492698,XB-GENE-991571,XB991570 [provisional:plb1]
GeneID:100491734,XB-GENE-992003,XB992002 [provisional]
GeneID:100490503,XB-GENE-994120,XB994119 [provisional:atp8b2]
GeneID:100497124,XB-GENE-994603,XB994602 [provisional:prlhr]
GeneID:100486968,XB-GENE-994847,XB994846 [provisional:pycard]
GeneID:100158538,XB-GENE-995202,XB995201 [provisional]
GeneID:100487633,XB-GENE-995278,XB995277 [provisional:adamtsl5]
GeneID:100485749,XB-GENE-995369,XB995368 [provisional:c1ra]
